OpenCL device: 
OpenCL time: 0 s
Python time: 0.000472125 s

RESULTS (filtered) - OpenCL and Python separately
----------------------+----------+--------------+------------------+------------------
name                  |games     |winning       |opencl_val        |python_val        
----------------------+----------+--------------+------------------+------------------
----------------------+----------+--------------+------------------+------------------

STARTING DATA (all records)
----------------------+----------+--------------
name                  |games     |winning       
----------------------+----------+--------------
Ava Thompson 000      |3         |82.200        
Chloe James 001       |3         |65.800        
Isabella Lewis 002    |6         |64.700        
Mia Bennett 003       |6         |65.200        
Aiden Martin 004      |4         |77.000        
Grace Nelson 005      |3         |85.400        
Sebastian Young 006   |7         |52.500        
Chloe Brooks 007      |4         |78.000        
Liam Kelly 008        |1         |51.800        
Daniel Harris 009     |2         |54.600        
Riley Lewis 010       |5         |68.100        
Riley Nelson 011      |2         |79.700        
Riley Gomez 012       |4         |54.000        
Evelyn James 013      |3         |51.300        
Mia Bennett 014       |2         |67.800        
Matthew Allen 015     |3         |89.200        
Chloe Watson 016      |2         |65.900        
Evelyn Nelson 017     |1         |83.000        
Amelia Thompson 018   |1         |75.600        
Evelyn Baker 019      |2         |63.300        
Evelyn Ward 020       |2         |83.200        
David Thompson 021    |3         |84.800        
James Watson 022      |1         |86.000        
Isabella Thompson 023 |2         |89.400        
Aiden Brooks 024      |6         |57.000        
Harper Lewis 025      |7         |50.600        
Isabella Allen 026    |2         |63.000        
Chloe Robinson 027    |4         |55.100        
Mia King 028          |4         |52.500        
Zoe Diaz 029          |4         |73.700        
Liam James 030        |1         |87.800        
Amelia Kelly 031      |1         |75.700        
Benjamin Kelly 032    |4         |83.900        
Aria Wright 033       |4         |78.500        
David Baker 034       |5         |53.200        
Logan Harris 035      |5         |55.000        
Sebastian King 036    |3         |89.800        
Chloe Watson 037      |1         |74.200        
Evelyn Hill 038       |5         |76.200        
Riley Green 039       |2         |68.100        
Riley Robinson 040    |4         |83.100        
Logan Ramirez 041     |4         |53.800        
Sophia Baker 042      |2         |60.200        
Ava Hill 043          |1         |53.600        
Mia Thompson 044      |6         |53.900        
Lucas Ramirez 045     |1         |55.200        
Samuel Watson 046     |3         |54.900        
Joseph Martin 047     |1         |86.600        
Zoe Carter 048        |1         |62.500        
Grace Watson 049      |4         |56.200        
Mia Bennett 050       |7         |54.300        
Samuel Watson 051     |2         |80.500        
Aiden Martin 052      |5         |72.400        
Aiden Campbell 053    |3         |87.200        
Lucas Hall 054        |3         |60.900        
David Lewis 055       |7         |50.200        
David Robinson 056    |1         |76.300        
Ava Robinson 057      |1         |75.300        
Riley James 058       |4         |71.200        
Liam Robinson 059     |3         |63.600        
Ava Wright 060        |5         |63.000        
Amelia Ramirez 061    |2         |52.100        
Samuel Kelly 062      |4         |53.300        
James Carter 063      |4         |74.300        
Matthew Hill 064      |1         |80.200        
Victoria King 065     |6         |54.400        
Grace Harris 066      |1         |76.700        
Abigail Carter 067    |1         |89.400        
Daniel Scott 068      |2         |62.100        
Chloe Adams 069       |3         |60.200        
Emily Brooks 070      |4         |69.900        
Grace King 071        |6         |65.200        
Aria Harris 072       |3         |72.300        
Samuel Adams 073      |1         |84.500        
Logan Lewis 074       |1         |68.400        
Riley Gray 075        |4         |67.200        
Logan Campbell 076    |1         |54.600        
Mia Baker 077         |4         |82.100        
Harper Hill 078       |1         |67.500        
Ava Harris 079        |5         |73.600        
Grace Green 080       |3         |84.800        
Zoe Nelson 081        |1         |81.200        
Ethan Wright 082      |5         |54.600        
David Diaz 083        |3         |81.000        
Ethan Campbell 084    |3         |54.100        
Emily Scott 085       |1         |74.100        
Scarlett Ramirez 086  |4         |75.100        
Logan Brooks 087      |3         |87.000        
Scarlett Nelson 088   |4         |67.600        
Amelia Hall 089       |3         |62.100        
Sebastian James 090   |3         |70.300        
Joseph Baker 091      |3         |51.500        
Zoe Harris 092        |1         |75.800        
Alexander James 093   |5         |68.500        
Logan Martin 094      |2         |86.400        
Amelia James 095      |2         |69.000        
Lucas Rivera 096      |7         |54.100        
Emily Allen 097       |6         |53.400        
Scarlett King 098     |4         |59.900        
Mia Hall 099          |2         |70.900        
Riley Scott 100       |4         |86.700        
Amelia Thompson 101   |5         |63.500        
Aria Green 102        |3         |75.200        
Noah Gray 103         |6         |53.800        
David Green 104       |6         |60.100        
David Young 105       |6         |53.300        
Olivia Brooks 106     |6         |64.000        
Liam Lee 107          |1         |73.800        
